plotfile plt_sj2_03700
Level_0/Cell_D_00000 983211 f470aad4eb48dab5
Level_0/Cell_D_00001 983214 f06116c5d4bad4fa
Level_0/Cell_D_00002 491605 9f14c3b2e9550621
Level_0/Cell_D_00003 491607 049cc18c4257dccd
Level_0/Cell_D_00004 491605 e17383e24781148c
Level_0/Cell_D_00005 491606 30ee675a5577925e
Level_1/Cell_D_00000 798980 c911f720f3b9e54a
Level_1/Cell_D_00001 798986 ea11fb0dcc74d7af
Level_1/Cell_D_00002 891230 b13895b3e2eca54a
Level_1/Cell_D_00003 921953 45db32793a97526e
Level_1/Cell_D_00004 829706 921a8a8c3efd3a12
Level_1/Cell_D_00005 860513 8df339ae229ba493
Level_2/Cell_D_00000 1168250 a9ca8db9b6ee593e
Level_2/Cell_D_00001 1168158 f0bb5e46d6dd433e
Level_2/Cell_D_00002 1198962 eec44b2498c0ac9d
Level_2/Cell_D_00003 1168159 8dd48f1d93663829
Level_2/Cell_D_00004 1198969 a6d5685be39bf3b5
Level_2/Cell_D_00005 1199052 6185f959d62e0965
  pressure max top-bottom asym = 9.093e+05 Pa   (finite=True)
